APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Search_Type
2016.0,2016P30CA054174,2546866.0,Target_Only
2016.0,2016P30CA068485,7904390.0,Target_Only
2016.0,2016P30CA071789,2440039.0,Target_Only
2001.0,2001P30CA071789,3807448.0,Target_Only
2017.0,2017P30CA076292,3532227.0,Target_Only
2001.0,2001P30ES000002,3069916.0,Target_Only
2010.0,2010P30ES000210,2413911.0,Target_Only
2008.0,2008P30ES000260,1294389.0,Target_Only
2014.0,2014P30ES000267,1669697.0,Target_Only
2003.0,2003P30ES000267,2729268.0,Target_Only
2002.0,2002P30ES000267,2755149.0,Target_Only
2000.0,2000P30ES000267,2939665.0,Target_Only
1999.0,1999P30ES000267,0.0,Target_Only
2010.0,2010P30ES005022,2238163.0,Target_Only
2015.0,2015P30ES006694,1824624.0,Target_Only
2010.0,2010P30ES006694,1961230.0,Target_Only
2009.0,2009P30ES006694,2037053.0,Target_Only
2013.0,2013P30ES007033,2061852.0,Target_Only
2011.0,2011P30ES007033,2116670.0,Target_Only
2009.0,2009P30ES007033,2033851.0,Target_Only
2008.0,2008P30ES007033,2222787.0,Target_Only
2018.0,2018P30ES009089,1605310.0,Target_Only
2008.0,2008P30ES009089,2383916.0,Target_Only
2007.0,2007P30ES009089,2282805.0,Target_Only
2008.0,2008P30ES010126,1974102.0,Target_Only
2014.0,2014P30ES013508,1886376.0,Target_Only
2010.0,2010P30ES013508,2195928.0,Target_Only
2017.0,2017P30GM110761,1180569.0,Target_Only
1999.0,1999P30HD028138,0.0,Target_Only
2008.0,2008P30NR004001,658214.0,Target_Only
2007.0,2007P30EY013080,540439.0,Target_Only
2020.0,2020P50CA058236,1392420.0,Drug
2012.0,2012P50CA058236,2340964.0,Drug
2011.0,2011P50CA058236,2722787.0,Drug
2015.0,2015P50CA086438,1651741.0,Drug
2018.0,2018P50CA092629,2436043.0,Drug
2017.0,2017P50CA092629,2556372.0,Drug
2015.0,2015P50CA092629,2134008.0,Drug
2012.0,2012P50CA092629,2394139.0,Drug
2011.0,2011P50CA092629,2369400.0,Drug
2010.0,2010P50CA092629,3136432.0,Drug
2009.0,2009P50CA092629,3240227.0,Drug
2017.0,2017P50CA090381,2413609.0,Drug
2016.0,2016P50CA090381,2366383.0,Drug
2015.0,2015P50CA090381,2452287.0,Drug
2014.0,2014P50CA090381,2377057.0,Drug
2020.0,2020P50CA092131,1364296.0,Drug
2020.0,2020P50CA097186,1952726.0,Drug
2019.0,2019P50CA097186,2020053.0,Drug
2018.0,2018P50CA097186,2157062.0,Drug
2017.0,2017P50CA097186,2330032.0,Drug
2014.0,2014P50CA097186,2432258.0,Drug
2015.0,2015P50CA097186,2452287.0,Drug
2009.0,2009P50CA097186,3233834.0,Drug
2016.0,2016P50CA140388,2473384.0,Drug
2013.0,2013P50CA140388,2498598.0,Drug
2012.0,2012P50CA140388,2751213.0,Drug
2018.0,2018P50CA180995,2289160.0,Drug
2012.0,2012P50AR055081,538280.0,Target_Only
2008.0,2008P50AR055081,1529714.0,Target_Only
2013.0,2013P50CA058236,1432940.0,Target_Only
2001.0,2001P50CA058236,6224572.0,Target_Only
2005.0,2005P50CA069568,3987839.0,Target_Only
2011.0,2011P50CA090381,2722784.0,Target_Only
2009.0,2009P50CA090381,3857879.0,Target_Only
2016.0,2016P50CA095103,2226152.0,Target_Only
2012.0,2012P50CA097186,717703.0,Target_Only
2011.0,2011P50CA097186,2722784.0,Target_Only
2010.0,2010P50CA097186,3050219.0,Target_Only
2008.0,2008P50CA097186,3210667.0,Target_Only
2014.0,2014P50CA093459,2400797.0,Target_Only
2016.0,2016P50CA127003,2366383.0,Target_Only
2017.0,2017P50CA180995,2406345.0,Target_Only
2012.0,2012P50AG008702,2901325.0,Target_Only
2016.0,2016P50HD071836,2122775.0,Target_Only
2018.0,2018P50HD028934,1711481.0,Target_Only
2016.0,2016P50HD028934,1875121.0,Target_Only
2014.0,2014P50HD028934,1980147.0,Target_Only
2019.0,2019P50HD012303,1537303.0,Target_Only
2018.0,2018P50HD012303,1496025.0,Target_Only
2003.0,2003P50HL061006,3325020.0,Target_Only
2013.0,2013P50AT002776,2012096.0,Target_Only
2015.0,2015P50AT006268,245472.0,Target_Only
2008.0,2008R01CA027440,430943.0,Drug
2019.0,2019R01CA039481,345246.0,Drug
2019.0,2019R01CA047282,146865.0,Drug
2018.0,2018R01CA105304,264812.0,Drug
2015.0,2015R01CA109874,293191.0,Drug
2011.0,2011R01CA127258,286752.0,Drug
2012.0,2012R01CA129933,426147.0,Drug
2010.0,2010R01CA131226,418277.0,Drug
2013.0,2013R01CA127727,342925.0,Drug
2018.0,2018R01CA134514,357750.0,Drug
2017.0,2017R01CA134514,375421.0,Drug
2013.0,2013R01CA136753,339628.0,Drug
2014.0,2014R01CA138791,401674.0,Drug
2018.0,2018R01CA130908,377625.0,Drug
2017.0,2017R01CA130908,396277.0,Drug
2016.0,2016R01CA165076,358162.0,Drug
2020.0,2020R01CA172382,359439.0,Drug
2018.0,2018R01CA172382,380000.0,Drug
2016.0,2016R01CA172382,353363.0,Drug
2014.0,2014R01CA172382,358925.0,Drug
2013.0,2013R01CA172382,359202.0,Drug
2015.0,2015R01CA165263,358640.0,Drug
2017.0,2017R01CA157372,399085.0,Drug
2013.0,2013R01CA180277,320155.0,Drug
2018.0,2018R01CA174777,366539.0,Drug
2017.0,2017R01CA174777,325468.0,Drug
2014.0,2014R01CA174777,343349.0,Drug
2017.0,2017R01CA168899,343044.0,Drug
2016.0,2016R01CA168899,357800.0,Drug
2014.0,2014R01CA168899,356753.0,Drug
2018.0,2018R01CA182503,439351.0,Drug
2018.0,2018R01CA184012,261450.0,Drug
2017.0,2017R01CA181648,327250.0,Drug
2018.0,2018R01CA193239,363713.0,Drug
2017.0,2017R01CA193239,381678.0,Drug
2019.0,2019R01CA190289,423031.0,Drug
2018.0,2018R01CA190289,452067.0,Drug
2016.0,2016R01CA190289,396844.0,Drug
2017.0,2017R01CA190289,458522.0,Drug
2018.0,2018R01CA193837,468128.0,Drug
2018.0,2018R01CA185297,370575.0,Drug
2016.0,2016R01CA185297,405607.0,Drug
2018.0,2018R01CA200787,370575.0,Drug
2018.0,2018R01CA196648,363713.0,Drug
2019.0,2019R01CA212097,584421.0,Drug
2018.0,2018R01CA208100,483284.0,Drug
2019.0,2019R01CA224769,333979.0,Drug
2014.0,2014R01DK062027,452228.0,Drug
2015.0,2015R01DK078121,382027.0,Drug
2018.0,2018R01GM028157,419836.0,Drug
2020.0,2020R01GM086596,450151.0,Drug
2017.0,2017R01GM086596,355294.0,Drug
2014.0,2014R01GM086596,384891.0,Drug
2018.0,2018R01GM125633,302100.0,Drug
2014.0,2014R01ES017272,575080.0,Drug
2010.0,2010R01HD016910,593388.0,Drug
2009.0,2009R01EB008047,1526746.0,Drug
2011.0,2011R01TW008288,62590.0,Target_Only
2001.0,2001R01AR035582,1566614.0,Target_Only
1999.0,1999R01AR040391,0.0,Target_Only
2004.0,2004R01AR047079,423205.0,Target_Only
2012.0,2012R01AR050496,478083.0,Target_Only
2006.0,2006R01AR050496,899563.0,Target_Only
2013.0,2013R01AR052190,348560.0,Target_Only
2007.0,2007R01AR052190,562956.0,Target_Only
2012.0,2012R01AR057049,733634.0,Target_Only
2013.0,2013R01AR056666,367557.0,Target_Only
2020.0,2020R01AR071189,309239.0,Target_Only
2019.0,2019R01AR071189,316870.0,Target_Only
2020.0,2020R01AR073004,307582.0,Target_Only
2019.0,2019R01AR073004,315172.0,Target_Only
2002.0,2002R01DK028350,583892.0,Target_Only
2011.0,2011R01DK037922,342103.0,Target_Only
2010.0,2010R01DK037922,367759.0,Target_Only
2009.0,2009R01DK037922,383769.0,Target_Only
2002.0,2002R01DK037922,566685.0,Target_Only
2001.0,2001R01DK037922,148269.0,Target_Only
2000.0,2000R01DK037922,628048.0,Target_Only
1999.0,1999R01DK037922,0.0,Target_Only
1999.0,1999R01DK042154,0.0,Target_Only
2011.0,2011R01DK043140,381511.0,Target_Only
2010.0,2010R01DK043140,410123.0,Target_Only
2009.0,2009R01DK043140,727329.0,Target_Only
2008.0,2008R01DK043140,424909.0,Target_Only
2005.0,2005R01DK043140,508301.0,Target_Only
2002.0,2002R01DK043140,419816.0,Target_Only
2001.0,2001R01DK043140,420594.0,Target_Only
2010.0,2010R01DK047015,352273.0,Target_Only
2001.0,2001R01DK047015,505454.0,Target_Only
2001.0,2001R01DK054480,669744.0,Target_Only
2005.0,2005R01DK051656,303792.0,Target_Only
2009.0,2009R01DK059913,411665.0,Target_Only
2005.0,2005R01DK059913,642120.0,Target_Only
2003.0,2003R01DK059913,673952.0,Target_Only
2006.0,2006R01DK060948,406404.0,Target_Only
2004.0,2004R01DK058105,414948.0,Target_Only
2007.0,2007R01DK062370,935818.0,Target_Only
2004.0,2004R01DK063303,1341440.0,Target_Only
2006.0,2006R01DK065204,576631.0,Target_Only
2008.0,2008R01DK068804,605870.0,Target_Only
2015.0,2015R01DK069950,372769.0,Target_Only
2011.0,2011R01DK069950,464181.0,Target_Only
2010.0,2010R01DK069950,132618.0,Target_Only
2009.0,2009R01DK069950,372948.0,Target_Only
2008.0,2008R01DK069950,370276.0,Target_Only
2009.0,2009R01DK072193,764142.0,Target_Only
2010.0,2010R01DK071224,617060.0,Target_Only
2011.0,2011R01DK075618,336568.0,Target_Only
2010.0,2010R01DK078150,898393.0,Target_Only
2009.0,2009R01DK074652,454178.0,Target_Only
2012.0,2012R01DK079888,381022.0,Target_Only
2010.0,2010R01DK080732,995263.0,Target_Only
2012.0,2012R01DK084178,317011.0,Target_Only
2017.0,2017R01DK107407,535795.0,Target_Only
2020.0,2020R01DK106618,623328.0,Target_Only
2017.0,2017R01DK106618,677207.0,Target_Only
2002.0,2002R01CA017393,872406.0,Target_Only
2001.0,2001R01CA017393,877732.0,Target_Only
2004.0,2004R01CA027440,573442.0,Target_Only
2003.0,2003R01CA027440,777844.0,Target_Only
2000.0,2000R01CA027440,810297.0,Target_Only
1999.0,1999R01CA027440,0.0,Target_Only
1999.0,1999R01CA040356,0.0,Target_Only
2001.0,2001R01CA040360,510907.0,Target_Only
2011.0,2011R01CA040629,487694.0,Target_Only
2001.0,2001R01CA042182,1595489.0,Target_Only
2013.0,2013R01CA047988,1940302.0,Target_Only
2010.0,2010R01CA049248,448769.0,Target_Only
2003.0,2003R01CA049449,2237131.0,Target_Only
2001.0,2001R01CA049449,2322181.0,Target_Only
1999.0,1999R01CA049449,0.0,Target_Only
2001.0,2001R01CA054281,2920816.0,Target_Only
1999.0,1999R01CA054281,0.0,Target_Only
2001.0,2001R01CA057374,51304.0,Target_Only
2013.0,2013R01CA062130,307983.0,Target_Only
2012.0,2012R01CA064277,604551.0,Target_Only
